nota;grupo;codigo;esforco;prioridade;habilidades;prazo
9101944730;EXTREDBT;INRU;92;0;VAR;1440
9101944731;EXTREDBT;INRU;164;0;VAR;1440
9101944732;EXTREDBT;INRU;272;0;VAR;1440
9101944733;EXTREDBT;INRU;92;0;VAR;1440
9101944734;EXTREDBT;INRU;596;0;VAR;1440
9101944735;EXTREDBT;INRU;164;0;VAR;1440
9101944736;EXTREDBT;INRU;92;0;VAR;1440
9101944737;EXTREDBT;INRU;56;0;VAR;1440
9101944738;EXTREDBT;INRU;56;0;VAR;1440
9101944739;EXTREDBT;INRU;128;0;VAR;1440
9101944740;EXTREDBT;INRU;92;0;VAR;1440
9101944741;EXTREDBT;INRU;56;0;VAR;1440
9101944742;EXTREDBT;INRU;128;0;VAR;1440
9101944743;EXTREDBT;INRU;164;0;VAR;2880
9101944744;EXTREDBT;INRU;92;0;VAR;2880
9101944745;EXTREDBT;INRU;92;0;VAR;2880
9101944746;EXTREDBT;INRU;92;0;VAR;2880
9101944747;EXTREDBT;INRU;128;0;VAR;2880
9101944748;EXTREDBT;INRU;380;0;VAR;2880
9101944749;EXTREDBT;INRU;128;0;VAR;2880
9101944750;EXTREDBT;INRU;92;0;VAR;2880
9101944751;EXTREDBT;INRU;128;0;VAR;2880
9101944752;EXTREDBT;INRU;596;0;VAR;2880
9101944753;EXTREDBT;INRU;128;0;VAR;2880
9101944754;EXTREDBT;INRU;56;0;VAR;1440
9101944755;EXTREDBT;INRU;56;0;VAR;1440
9101944756;EXTREDBT;INRU;100;0;VAR;1440
9101944757;EXTREDBT;INRU;100;0;VAR;1440
9101944758;EXTREDBT;INRU;100;0;VAR;1440
9101944759;EXTREDBT;INRU;128;0;VAR;1440
9101944760;EXTREDBT;INRU;344;0;VAR;1440
9101944761;EXTREDBT;INRU;92;0;VAR;2880
9101944762;EXTREDBT;INRU;56;0;VAR;2880
9101944763;EXTREDBT;INRU;92;0;VAR;2880
9101944764;EXTREDBT;INRU;56;0;VAR;2880
9101944765;EXTREDBT;INRU;92;0;VAR;2880
9101944766;EXTREDBT;INRU;200;0;VAR;2880
9101944767;EXTREDBT;INRU;128;0;VAR;2880
9101944768;EXTREDBT;INRU;524;0;VAR;1440
9101944769;EXTREDBT;INRU;524;0;VAR;8640
9101944776;EXTREDBT;INRU;128;0;VAR;15840
9101944789;EXTREDBT;INRU;56;0;VAR;1440
9101944790;EXTREDBT;INRU;56;0;VAR;1440
9101944791;EXTREDBT;INRU;92;0;VAR;1440
9101944795;EXTREDBT;INRU;100;0;VAR;10080
9101944805;EXTREDBT;INRU;128;0;VAR;4320
9101944806;EXTREDBT;INRU;308;0;VAR;4320
9101944807;EXTREDBT;INRU;164;0;VAR;4320
9101944808;EXTREDBT;INRU;128;0;VAR;4320
9101944809;EXTREDBT;INRU;56;0;VAR;4320
9101944810;EXTREDBT;INRU;56;0;VAR;4320
9101944811;EXTREDBT;INRU;200;0;VAR;4320
9101944812;EXTREDBT;INRU;128;0;VAR;4320
9101944813;EXTREDBT;INRU;100;0;VAR;4320
9101944814;EXTREDBT;INRU;100;0;VAR;4320
9101944815;EXTREDBT;INRU;56;0;VAR;4320
9101944816;EXTREDBT;INRU;56;0;VAR;4320
9101944817;EXTREDBT;INRU;100;0;VAR;4320
9101944818;EXTREDBT;INRU;100;0;VAR;4320
9101944819;EXTREDBT;INRU;308;0;VAR;4320
9101944820;EXTREDBT;INRU;56;0;VAR;4320
9101944821;EXTREDBT;INRU;128;0;VAR;4320
9101944822;EXTREDBT;INRU;56;0;VAR;4320
9101944823;EXTREDBT;INRU;1100;0;VAR;4320
9101944824;EXTREDBT;INRU;56;0;VAR;4320
9101944825;EXTREDBT;INRU;56;0;VAR;4320
9101944826;EXTREDBT;INRU;344;0;VAR;4320
9101944827;EXTREDBT;INRU;128;0;VAR;4320
9101944828;EXTREDBT;INRU;200;0;VAR;4320
9101944829;EXTREDBT;INRU;92;0;VAR;4320
9101944830;EXTREDBT;INRU;128;0;VAR;4320
9101944831;EXTREDBT;INRU;100;0;VAR;4320
9101944832;EXTREDBT;INRU;452;0;VAR;4320
9101944833;EXTREDBT;INRU;56;0;VAR;4320
9101944834;EXTREDBT;INRU;56;0;VAR;5760
9101944835;EXTREDBT;INRU;92;0;VAR;5760
9101944836;EXTREDBT;INRU;344;0;VAR;5760
9101944837;EXTREDBT;INRU;236;0;VAR;5760
9101944838;EXTREDBT;INRU;56;0;VAR;5760
9101944839;EXTREDBT;INRU;200;0;VAR;5760
9101944840;EXTREDBT;INRU;128;0;VAR;5760
9101944841;EXTREDBT;INRU;92;0;VAR;5760
9101944842;EXTREDBT;INRU;92;0;VAR;5760
9101944843;EXTREDBT;INRU;128;0;VAR;5760
9101944844;EXTREDBT;INRU;128;0;VAR;5760
9101944845;EXTREDBT;INRU;128;0;VAR;5760
9101944846;EXTREDBT;INRU;272;0;VAR;5760
9101944847;EXTREDBT;INRU;92;0;VAR;5760
9101944848;EXTREDBT;INRU;56;0;VAR;5760
9101944849;EXTREDBT;INRU;56;0;VAR;4320
9101944850;EXTREDBT;INRU;128;0;VAR;4320
9101944851;EXTREDBT;INRU;272;0;VAR;4320
9101944852;EXTREDBT;INRU;2288;0;VAR;4320
9101944853;EXTREDBT;INRU;164;0;VAR;4320
9101944854;EXTREDBT;INRU;56;0;VAR;4320
9101944855;EXTREDBT;INRU;128;0;VAR;4320
9101944856;EXTREDBT;INRU;128;0;VAR;4320
9101944857;EXTREDBT;INRU;236;0;VAR;4320
9101944858;EXTREDBT;INRU;100;0;VAR;5760
9101944859;EXTREDBT;INRU;100;0;VAR;5760
9101944860;EXTREDBT;INRU;128;0;VAR;5760
9101944861;EXTREDBT;INRU;164;0;VAR;5760
9101944862;EXTREDBT;INRU;100;0;VAR;4320
9101944863;EXTREDBT;INRU;236;0;VAR;4320
9101944864;EXTREDBT;INRU;100;0;VAR;5760
9101944865;EXTREDBT;INRU;100;0;VAR;4320
9101944866;EXTREDBT;INRU;128;0;VAR;4320
9101944867;EXTREDBT;INRU;128;0;VAR;2880
